IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
198.41.211.230,4,4,0.00,110.52,0.00,N/A
162.159.14.25,4,4,0.00,110.53,0.00,N/A
162.159.4.228,4,4,0.00,110.67,0.00,N/A
162.159.58.59,4,4,0.00,110.75,0.00,N/A
162.159.46.115,4,4,0.00,110.78,0.00,N/A
108.162.194.102,4,4,0.00,110.91,0.00,N/A
162.159.13.182,4,4,0.00,110.98,0.00,N/A
162.159.18.151,4,4,0.00,111.12,0.00,N/A
162.159.58.94,4,4,0.00,111.34,0.00,N/A
162.159.34.167,4,4,0.00,106.44,0.00,N/A
162.159.35.73,4,4,0.00,111.55,0.00,N/A
108.162.194.140,4,4,0.00,106.37,0.00,N/A
108.162.192.39,4,4,0.00,111.74,0.00,N/A
172.64.33.216,4,4,0.00,105.98,0.00,N/A
173.245.58.251,4,4,0.00,111.86,0.00,N/A
172.64.34.129,4,4,0.00,111.93,0.00,N/A
172.64.37.102,4,4,0.00,111.94,0.00,N/A
162.159.58.92,4,4,0.00,105.31,0.00,N/A
172.64.38.247,4,4,0.00,112.18,0.00,N/A
172.64.42.176,4,4,0.00,105.28,0.00,N/A
108.162.193.142,4,4,0.00,112.20,0.00,N/A
198.41.223.193,4,4,0.00,112.22,0.00,N/A
172.64.34.63,4,4,0.00,112.30,0.00,N/A
172.64.41.236,4,4,0.00,112.86,0.00,N/A
172.64.34.93,4,4,0.00,105.00,0.00,N/A
162.159.48.158,4,4,0.00,104.31,0.00,N/A
162.159.34.177,4,4,0.00,113.21,0.00,N/A
162.159.36.244,4,4,0.00,113.60,0.00,N/A
172.64.43.196,4,4,0.00,113.67,0.00,N/A
162.159.43.213,4,4,0.00,114.31,0.00,N/A
162.159.34.187,4,4,0.00,115.26,0.00,N/A
162.159.57.69,4,4,0.00,115.34,0.00,N/A
162.159.34.141,4,4,0.00,115.75,0.00,N/A
162.159.3.222,4,4,0.00,116.68,0.00,N/A
172.64.46.30,4,4,0.00,104.07,0.00,N/A
162.159.17.204,4,4,0.00,104.04,0.00,N/A
162.159.8.16,4,4,0.00,103.03,0.00,N/A
162.159.60.117,4,4,0.00,100.90,0.00,N/A
