IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.117,4,4,0.00,99.14,0.00,N/A
172.64.229.244,4,4,0.00,99.15,0.00,N/A
172.64.229.221,4,4,0.00,99.15,0.00,N/A
172.64.229.128,4,4,0.00,99.16,0.00,N/A
172.64.229.119,4,4,0.00,99.18,0.00,N/A
172.64.229.156,4,4,0.00,99.20,0.00,N/A
172.64.229.231,4,4,0.00,99.21,0.00,N/A
172.64.229.186,4,4,0.00,99.21,0.00,N/A
172.64.229.154,4,4,0.00,99.22,0.00,N/A
172.64.229.127,4,4,0.00,99.24,0.00,N/A
172.64.229.141,4,4,0.00,99.24,0.00,N/A
172.64.229.217,4,4,0.00,99.25,0.00,N/A
172.64.229.192,4,4,0.00,99.26,0.00,N/A
172.64.229.246,4,4,0.00,99.27,0.00,N/A
172.64.229.243,4,4,0.00,99.27,0.00,N/A
172.64.229.157,4,4,0.00,99.31,0.00,N/A
172.64.229.154,4,4,0.00,99.31,0.00,N/A
172.64.229.183,4,4,0.00,99.32,0.00,N/A
172.64.229.135,4,4,0.00,99.33,0.00,N/A
172.64.229.21,4,4,0.00,99.36,0.00,N/A
172.64.229.113,4,4,0.00,99.36,0.00,N/A
172.64.229.201,4,4,0.00,99.38,0.00,N/A
172.64.229.218,4,4,0.00,99.39,0.00,N/A
172.64.229.223,4,4,0.00,99.39,0.00,N/A
104.18.32.237,4,4,0.00,99.42,0.00,N/A
172.64.229.164,4,4,0.00,99.42,0.00,N/A
172.64.229.205,4,4,0.00,99.43,0.00,N/A
172.64.229.234,4,4,0.00,99.43,0.00,N/A
172.64.229.164,4,4,0.00,99.44,0.00,N/A
172.64.229.120,4,4,0.00,99.50,0.00,N/A
172.64.229.95,4,4,0.00,99.51,0.00,N/A
172.64.229.58,4,4,0.00,99.52,0.00,N/A
172.64.229.130,4,4,0.00,99.54,0.00,N/A
172.64.229.223,4,4,0.00,99.57,0.00,N/A
172.64.229.236,4,4,0.00,99.58,0.00,N/A
104.18.35.207,4,4,0.00,99.62,0.00,N/A
172.64.229.249,4,4,0.00,99.66,0.00,N/A
172.64.229.197,4,4,0.00,99.67,0.00,N/A
172.64.229.145,4,4,0.00,99.69,0.00,N/A
172.64.229.28,4,4,0.00,99.70,0.00,N/A
172.64.229.238,4,4,0.00,99.72,0.00,N/A
172.64.229.77,4,4,0.00,99.72,0.00,N/A
172.64.229.220,4,4,0.00,99.73,0.00,N/A
172.64.229.159,4,4,0.00,99.76,0.00,N/A
172.64.229.38,4,4,0.00,99.76,0.00,N/A
172.64.155.18,4,4,0.00,99.83,0.00,N/A
172.64.229.250,4,4,0.00,99.84,0.00,N/A
104.18.42.2,4,4,0.00,99.84,0.00,N/A
172.64.229.239,4,4,0.00,99.86,0.00,N/A
104.18.32.155,4,4,0.00,99.87,0.00,N/A
172.64.229.216,4,4,0.00,99.87,0.00,N/A
172.64.229.26,4,4,0.00,99.88,0.00,N/A
104.18.35.18,4,4,0.00,99.88,0.00,N/A
104.18.47.217,4,4,0.00,99.92,0.00,N/A
172.64.229.185,4,4,0.00,99.95,0.00,N/A
172.64.229.240,4,4,0.00,99.99,0.00,N/A
172.64.229.189,4,4,0.00,99.99,0.00,N/A
172.64.229.117,4,4,0.00,100.00,0.00,N/A
104.18.37.194,4,4,0.00,100.00,0.00,N/A
172.64.229.155,4,4,0.00,100.01,0.00,N/A
172.64.149.45,4,4,0.00,100.01,0.00,N/A
172.64.229.179,4,4,0.00,100.01,0.00,N/A
172.64.229.141,4,4,0.00,100.02,0.00,N/A
172.64.229.102,4,4,0.00,100.07,0.00,N/A
172.64.229.103,4,4,0.00,100.08,0.00,N/A
172.64.229.242,4,4,0.00,100.11,0.00,N/A
104.18.36.139,4,4,0.00,100.11,0.00,N/A
172.64.229.62,4,4,0.00,100.12,0.00,N/A
172.64.229.125,4,4,0.00,100.14,0.00,N/A
172.64.229.151,4,4,0.00,100.15,0.00,N/A
172.64.229.235,4,4,0.00,100.16,0.00,N/A
172.64.229.193,4,4,0.00,100.16,0.00,N/A
172.64.229.206,4,4,0.00,100.17,0.00,N/A
172.64.229.88,4,4,0.00,100.17,0.00,N/A
172.64.229.226,4,4,0.00,100.17,0.00,N/A
172.64.229.78,4,4,0.00,100.18,0.00,N/A
172.64.229.94,4,4,0.00,100.19,0.00,N/A
172.64.229.172,4,4,0.00,100.19,0.00,N/A
172.64.229.247,4,4,0.00,100.20,0.00,N/A
172.64.229.44,4,4,0.00,100.21,0.00,N/A
172.64.229.7,4,4,0.00,100.22,0.00,N/A
172.64.229.82,4,4,0.00,100.22,0.00,N/A
172.64.229.2,4,4,0.00,100.24,0.00,N/A
172.64.229.198,4,4,0.00,100.24,0.00,N/A
172.64.229.182,4,4,0.00,100.24,0.00,N/A
172.64.229.91,4,4,0.00,100.25,0.00,N/A
172.64.229.200,4,4,0.00,100.26,0.00,N/A
172.64.229.247,4,4,0.00,100.28,0.00,N/A
172.64.150.248,4,4,0.00,100.29,0.00,N/A
172.64.229.45,4,4,0.00,100.31,0.00,N/A
172.64.229.65,4,4,0.00,100.33,0.00,N/A
172.64.229.63,4,4,0.00,100.33,0.00,N/A
172.64.229.215,4,4,0.00,100.38,0.00,N/A
172.64.229.191,4,4,0.00,100.39,0.00,N/A
172.64.229.172,4,4,0.00,100.39,0.00,N/A
104.18.45.176,4,4,0.00,100.43,0.00,N/A
172.64.229.158,4,4,0.00,100.45,0.00,N/A
172.64.229.121,4,4,0.00,100.46,0.00,N/A
172.64.229.251,4,4,0.00,100.48,0.00,N/A
172.64.229.13,4,4,0.00,100.48,0.00,N/A
172.64.229.225,4,4,0.00,100.49,0.00,N/A
172.64.229.115,4,4,0.00,100.50,0.00,N/A
172.64.229.68,4,4,0.00,100.51,0.00,N/A
172.64.229.149,4,4,0.00,100.51,0.00,N/A
172.64.229.210,4,4,0.00,100.51,0.00,N/A
172.64.229.71,4,4,0.00,100.51,0.00,N/A
104.18.37.32,4,4,0.00,100.54,0.00,N/A
172.64.229.29,4,4,0.00,100.55,0.00,N/A
172.64.229.174,4,4,0.00,100.56,0.00,N/A
172.64.229.105,4,4,0.00,100.57,0.00,N/A
172.64.229.116,4,4,0.00,100.58,0.00,N/A
104.18.35.89,4,4,0.00,100.60,0.00,N/A
172.64.229.211,4,4,0.00,100.63,0.00,N/A
172.64.229.212,4,4,0.00,100.63,0.00,N/A
172.64.229.5,4,4,0.00,100.65,0.00,N/A
172.64.229.233,4,4,0.00,100.65,0.00,N/A
172.64.229.10,4,4,0.00,100.66,0.00,N/A
172.64.148.149,4,4,0.00,100.67,0.00,N/A
104.18.46.214,4,4,0.00,100.68,0.00,N/A
172.64.229.55,4,4,0.00,100.68,0.00,N/A
172.64.229.224,4,4,0.00,100.69,0.00,N/A
172.64.229.207,4,4,0.00,100.71,0.00,N/A
172.64.229.98,4,4,0.00,100.71,0.00,N/A
172.64.146.164,4,4,0.00,100.71,0.00,N/A
172.64.152.84,4,4,0.00,100.73,0.00,N/A
104.18.35.162,4,4,0.00,100.75,0.00,N/A
172.64.229.40,4,4,0.00,100.77,0.00,N/A
172.64.229.126,4,4,0.00,100.77,0.00,N/A
104.18.35.21,4,4,0.00,100.78,0.00,N/A
172.64.229.175,4,4,0.00,100.78,0.00,N/A
104.18.43.126,4,4,0.00,100.82,0.00,N/A
172.64.229.181,4,4,0.00,100.82,0.00,N/A
172.64.229.86,4,4,0.00,100.83,0.00,N/A
172.64.229.160,4,4,0.00,100.83,0.00,N/A
172.64.229.42,4,4,0.00,100.83,0.00,N/A
172.64.229.69,4,4,0.00,100.83,0.00,N/A
172.64.229.209,4,4,0.00,100.86,0.00,N/A
104.18.35.198,4,4,0.00,100.86,0.00,N/A
172.64.229.6,4,4,0.00,100.86,0.00,N/A
104.18.41.183,4,4,0.00,100.90,0.00,N/A
172.64.229.7,4,4,0.00,100.93,0.00,N/A
104.18.34.168,4,4,0.00,100.94,0.00,N/A
172.64.229.183,4,4,0.00,100.95,0.00,N/A
172.64.229.161,4,4,0.00,100.96,0.00,N/A
172.64.229.146,4,4,0.00,100.96,0.00,N/A
104.18.42.28,4,4,0.00,100.98,0.00,N/A
8.35.211.75,4,4,0.00,100.99,0.00,N/A
172.64.229.208,4,4,0.00,101.00,0.00,N/A
172.64.229.48,4,4,0.00,101.01,0.00,N/A
172.64.229.167,4,4,0.00,101.02,0.00,N/A
104.18.38.151,4,4,0.00,101.03,0.00,N/A
172.64.229.14,4,4,0.00,101.04,0.00,N/A
172.64.229.177,4,4,0.00,101.07,0.00,N/A
104.18.40.32,4,4,0.00,101.08,0.00,N/A
104.18.33.114,4,4,0.00,101.08,0.00,N/A
172.64.153.119,4,4,0.00,101.11,0.00,N/A
172.64.229.206,4,4,0.00,101.11,0.00,N/A
104.18.35.248,4,4,0.00,101.15,0.00,N/A
172.64.146.90,4,4,0.00,101.16,0.00,N/A
104.18.47.211,4,4,0.00,101.16,0.00,N/A
172.64.229.130,4,4,0.00,101.16,0.00,N/A
172.64.229.195,4,4,0.00,101.16,0.00,N/A
104.18.46.138,4,4,0.00,101.17,0.00,N/A
172.64.149.91,4,4,0.00,101.18,0.00,N/A
172.64.229.101,4,4,0.00,101.19,0.00,N/A
172.64.229.38,4,4,0.00,101.20,0.00,N/A
172.64.229.125,4,4,0.00,101.20,0.00,N/A
172.64.229.104,4,4,0.00,101.21,0.00,N/A
172.64.229.43,4,4,0.00,101.21,0.00,N/A
172.64.229.66,4,4,0.00,101.22,0.00,N/A
172.64.229.40,4,4,0.00,101.23,0.00,N/A
172.64.154.52,4,4,0.00,101.24,0.00,N/A
172.64.229.153,4,4,0.00,101.24,0.00,N/A
172.64.229.54,4,4,0.00,101.25,0.00,N/A
172.64.229.204,4,4,0.00,101.25,0.00,N/A
172.64.229.143,4,4,0.00,101.25,0.00,N/A
172.64.157.192,4,4,0.00,101.27,0.00,N/A
172.64.229.39,4,4,0.00,101.28,0.00,N/A
172.64.229.142,4,4,0.00,101.28,0.00,N/A
172.64.229.171,4,4,0.00,101.29,0.00,N/A
172.64.229.80,4,4,0.00,101.32,0.00,N/A
172.64.229.59,4,4,0.00,101.33,0.00,N/A
172.64.229.4,4,4,0.00,101.34,0.00,N/A
172.64.229.123,4,4,0.00,101.34,0.00,N/A
172.64.148.232,4,4,0.00,101.36,0.00,N/A
